Series;Time;Value
Usable Cores;2018-05-30T02:00:00+02:00;26114.919444444444
Usable Cores;2018-05-30T14:00:00+02:00;25861.883333333335
Usable Cores;2018-05-31T02:00:00+02:00;26768.7
Usable Cores;2018-05-31T14:00:00+02:00;26470.855555555554
Usable Cores;2018-06-01T02:00:00+02:00;26945.05277777778
Usable Cores;2018-06-01T14:00:00+02:00;26249.966666666667
Usable Cores;2018-06-02T02:00:00+02:00;27140.108333333334
Usable Cores;2018-06-02T14:00:00+02:00;27802.23888888889
Usable Cores;2018-06-03T02:00:00+02:00;27789.994444444445
Usable Cores;2018-06-03T14:00:00+02:00;27790
Usable Cores;2018-06-04T02:00:00+02:00;27826.775
Usable Cores;2018-06-04T14:00:00+02:00;27860.15
Usable Cores;2018-06-05T02:00:00+02:00;27851.161111111112
Usable Cores;2018-06-05T14:00:00+02:00;27886.066666666666
Usable Cores;2018-06-06T02:00:00+02:00;27934.625
Usable Cores;2018-06-06T14:00:00+02:00;27936.36388888889
Usable Cores;2018-06-07T02:00:00+02:00;27928.633333333335
Usable Cores;2018-06-07T14:00:00+02:00;27891.555555555555
Usable Cores;2018-06-08T02:00:00+02:00;27905.977777777778
Usable Cores;2018-06-08T14:00:00+02:00;27908.98611111111
Usable Cores;2018-06-09T02:00:00+02:00;27908.994444444445
Usable Cores;2018-06-09T14:00:00+02:00;27831.75
Usable Cores;2018-06-10T02:00:00+02:00;27813
Usable Cores;2018-06-10T14:00:00+02:00;27790.144444444446
Usable Cores;2018-06-11T02:00:00+02:00;27820.044444444444
Usable Cores;2018-06-11T14:00:00+02:00;27941.67966573816
Usable Cores;2018-06-12T02:00:00+02:00;27921.733333333334
Usable Cores;2018-06-12T14:00:00+02:00;27880.189759036144
Usable Cores;2018-06-13T02:00:00+02:00;27835.74722222222
Usable Cores;2018-06-13T14:00:00+02:00;27818.95
Usable Cores;2018-06-14T02:00:00+02:00;27860.208333333332
Usable Cores;2018-06-14T14:00:00+02:00;27462.577777777777
Usable Cores;2018-06-15T02:00:00+02:00;27872.00277777778
Usable Cores;2018-06-15T14:00:00+02:00;27862.102777777778
Usable Cores;2018-06-16T02:00:00+02:00;27773.71111111111
Usable Cores;2018-06-16T14:00:00+02:00;27741.88888888889
Usable Cores;2018-06-17T02:00:00+02:00;27725
Usable Cores;2018-06-17T14:00:00+02:00;27704.555555555555
Usable Cores;2018-06-18T02:00:00+02:00;27716.51388888889
Usable Cores;2018-06-18T14:00:00+02:00;27883.222222222223
Usable Cores;2018-06-19T02:00:00+02:00;27896.19722222222
Usable Cores;2018-06-19T14:00:00+02:00;27924.62222222222
Usable Cores;2018-06-20T02:00:00+02:00;27895.852777777778
Usable Cores;2018-06-20T14:00:00+02:00;27900.994444444445
Usable Cores;2018-06-21T02:00:00+02:00;27901
Usable Cores;2018-06-21T14:00:00+02:00;27891.00277777778
Usable Cores;2018-06-22T02:00:00+02:00;27880.941666666666
Usable Cores;2018-06-22T14:00:00+02:00;27879.78947368421
Usable Cores;2018-06-23T02:00:00+02:00;27817.991666666665
Usable Cores;2018-06-23T14:00:00+02:00;27786.74722222222
Usable Cores;2018-06-24T02:00:00+02:00;27709.96111111111
Usable Cores;2018-06-24T14:00:00+02:00;27659.141666666666
Usable Cores;2018-06-25T02:00:00+02:00;27733.51111111111
Usable Cores;2018-06-25T14:00:00+02:00;27874.28888888889
Usable Cores;2018-06-26T02:00:00+02:00;27884.963888888888
Usable Cores;2018-06-26T14:00:00+02:00;27885
Usable Cores;2018-06-27T02:00:00+02:00;27885
